Job Postings vs. Hires,,
,,
"3,108,585.00","7,427,614.00",
Avg. Monthly Postings (Jan 2023 - Dec 2023),Avg. Monthly Hires (Jan 2023 - Dec 2023),
Occupation,Avg Monthly Postings (Jan 2023 - Dec 2023),Avg Monthly Hires (Jan 2023 - Dec 2023)
Registered Nurses,"200,309","115,300"
Unclassified Occupation,"102,008",0
Retail Salespersons,"89,287","251,838"
First-Line Supervisors of Retail Sales Workers,"57,895","40,102"
Customer Service Representatives,"57,295","186,615"
Software Developers,"55,722","67,465"
Heavy and Tractor-Trailer Truck Drivers,"55,649","121,208"
"Computer Occupations, All Other","47,302","16,791"
"Laborers and Freight, Stock, and Material Movers, Hand","43,768","279,526"
"Maintenance and Repair Workers, General","39,533","72,658"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","39,341","37,960"
General and Operations Managers,"38,406","138,217"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","36,731","75,637"
Home Health and Personal Care Aides,"36,151","271,317"
Food Service Managers,"35,121","10,607"
Medical and Health Services Managers,"34,403","15,191"
First-Line Supervisors of Office and Administrative Support Workers,"33,246","50,207"
Licensed Practical and Licensed Vocational Nurses,"31,141","38,747"
Project Management Specialists,"29,323","42,838"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","27,690","146,935"
Financial Managers,"26,632","26,231"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","26,141","66,461"
Sales Managers,"24,569","21,354"
"Production Workers, All Other","24,155","23,412"
Accountants and Auditors,"23,348","66,058"
Waiters and Waitresses,"23,346","266,892"
"Health Technologists and Technicians, All Other","22,630","5,403"
Nursing Assistants,"22,567","103,154"
First-Line Supervisors of Food Preparation and Serving Workers,"22,284","58,342"
Medical Assistants,"21,935","40,931"
Maids and Housekeeping Cleaners,"21,925","73,213"
Data Scientists,"21,236","9,246"
Driver/Sales Workers,"20,832","23,309"
Computer User Support Specialists,"20,320","29,931"
"Bookkeeping, Accounting, and Auditing Clerks","20,188","58,775"
Security Guards,"19,981","98,295"
Merchandise Displayers and Window Trimmers,"19,954","8,203"
Human Resources Specialists,"19,516","64,346"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","19,209","8,140"
Marketing Managers,"19,114","17,485"
Receptionists and Information Clerks,"18,362","77,647"
Automotive Service Technicians and Mechanics,"18,308","33,643"
Market Research Analysts and Marketing Specialists,"16,789","50,703"
