Top Specialized Skills,,,,,,
,,,,,,
Skills,Postings,% of Total Postings,Profiles,% of Total Profiles,Projected Skill Growth,Skill Growth Relative to Market
Computer Science,"2,072,793",21%,"231,844",2%,26.8%,Rapidly Growing
Project Management,"1,519,383",16%,"1,493,384",14%,19.8%,Rapidly Growing
Agile Methodology,"1,402,712",14%,"650,740",6%,19.8%,Rapidly Growing
SQL (Programming Language),"1,309,854",13%,"1,129,436",11%,6.4%,Stable
Python (Programming Language),"1,297,440",13%,"870,670",8%,24.5%,Rapidly Growing
Automation,"1,158,446",12%,"584,027",5%,30.5%,Rapidly Growing
Software Engineering,"993,417",10%,"1,091,419",10%,23.1%,Rapidly Growing
Software Development,"976,798",10%,"927,957",9%,23.2%,Rapidly Growing
Java (Programming Language),"972,796",10%,"892,901",8%,17.4%,Growing
Amazon Web Services,"940,324",10%,"366,165",3%,24.0%,Rapidly Growing
Data Analysis,"874,838",9%,"855,631",8%,25.8%,Rapidly Growing
JavaScript (Programming Language),"783,539",8%,"792,029",7%,18.6%,Growing
Application Programming Interface (API),"735,503",8%,"352,467",3%,9.5%,Growing
Microsoft Azure,"717,629",7%,"191,370",2%,28.9%,Rapidly Growing
Workflow Management,"681,370",7%,"336,248",3%,18.0%,Growing
Linux,"640,324",7%,"629,060",6%,8.9%,Growing
Scripting,"615,936",6%,"193,916",2%,7.9%,Stable
Auditing,"609,144",6%,"376,463",4%,21.8%,Rapidly Growing
Scrum (Software Development),"603,046",6%,"374,254",4%,15.2%,Growing
Scalability,"600,388",6%,"140,251",1%,25.2%,Rapidly Growing
Operating Systems,"583,056",6%,"369,664",3%,22.6%,Rapidly Growing
Business Requirements,"577,022",6%,"145,227",1%,23.8%,Rapidly Growing
Debugging,"565,705",6%,"244,818",2%,19.5%,Rapidly Growing
DevOps,"548,361",6%,"160,057",2%,23.7%,Rapidly Growing
Electrical Engineering,"535,685",6%,"224,691",2%,21.2%,Rapidly Growing
Process Improvement,"524,367",5%,"519,383",5%,27.0%,Rapidly Growing
Systems Engineering,"518,762",5%,"542,276",5%,20.9%,Rapidly Growing
Technical Support,"515,955",5%,"591,340",6%,24.1%,Rapidly Growing
Continuous Improvement Process,"505,577",5%,"279,696",3%,23.4%,Rapidly Growing
New Product Development,"498,187",5%,"438,083",4%,24.1%,Rapidly Growing
CI/CD,"487,151",5%,"67,927",1%,21.4%,Rapidly Growing
Information Systems,"481,699",5%,"159,356",1%,21.6%,Rapidly Growing
Git (Version Control System),"479,463",5%,"325,827",3%,11.4%,Growing
Business Process,"478,258",5%,"204,243",2%,22.8%,Rapidly Growing
C# (Programming Language),"460,104",5%,"417,882",4%,16.1%,Growing
C++ (Programming Language),"445,993",5%,"671,585",6%,10.0%,Growing
Marketing,"431,865",4%,"618,770",6%,23.0%,Rapidly Growing
JIRA,"410,623",4%,"235,817",2%,24.1%,Rapidly Growing
Cascading Style Sheets (CSS),"392,736",4%,"546,560",5%,21.4%,Rapidly Growing
React.js (Javascript Library),"390,903",4%,"222,127",2%,16.7%,Growing
Statistics,"390,253",4%,"277,926",3%,22.7%,Rapidly Growing
Finance,"389,342",4%,"258,082",2%,27.3%,Rapidly Growing
Kubernetes,"388,762",4%,"91,280",1%,22.0%,Rapidly Growing
Machine Learning,"377,468",4%,"310,580",3%,19.9%,Rapidly Growing
HyperText Markup Language (HTML),"374,958",4%,"750,643",7%,11.4%,Growing
Docker (Software),"370,050",4%,"138,133",1%,19.9%,Rapidly Growing
Angular (Web Framework),"367,542",4%,"191,132",2%,21.9%,Rapidly Growing
Computer Engineering,"364,898",4%,"48,504",0%,14.7%,Growing
Microservices,"364,422",4%,"100,635",1%,22.4%,Rapidly Growing
RESTful API,"361,456",4%,"213,881",2%,19.2%,Growing
