Top Cities Posting,,,
,,,
City,Total Postings (Jan 2022 - Dec 2023),Unique Postings (Jan 2022 - Dec 2023),Median Posting Duration
"New York, NY","478,745","253,531",26 days
"Chicago, IL","392,731","173,355",25 days
"Atlanta, GA","294,858","157,886",25 days
"Houston, TX","301,980","149,304",26 days
"Austin, TX","269,273","133,930",26 days
"Los Angeles, CA","369,150","127,854",26 days
"San Francisco, CA","343,647","127,446",26 days
"Washington, DC","261,105","126,445",24 days
"Dallas, TX","254,985","122,299",26 days
"Charlotte, NC","226,328","112,451",25 days
"San Diego, CA","316,019","109,550",26 days
"Seattle, WA","237,383","107,611",26 days
"Boston, MA","213,449","105,465",25 days
"Phoenix, AZ","267,279","100,389",25 days
"Denver, CO","222,810","90,169",26 days
"San Jose, CA","189,252","71,531",25 days
"Minneapolis, MN","146,914","69,959",25 days
"Tampa, FL","170,933","69,623",24 days
"Philadelphia, PA","128,919","61,590",26 days
"San Antonio, TX","130,284","55,117",26 days
"Saint Louis, MO","118,079","54,018",26 days
"Raleigh, NC","114,718","53,149",25 days
"Columbus, OH","110,985","52,713",25 days
"Indianapolis, IN","123,809","52,281",25 days
"Orlando, FL","123,229","51,325",24 days
"Plano, TX","110,522","49,091",25 days
"Miami, FL","119,982","48,909",25 days
"Irvine, CA","129,712","48,494",26 days
"Huntsville, AL","123,506","47,233",27 days
"Pittsburgh, PA","108,999","46,955",26 days
"Las Vegas, NV","120,301","45,592",26 days
"Portland, OR","108,868","45,235",28 days
"Cincinnati, OH","102,379","45,030",27 days
"Arlington, VA","92,300","44,712",26 days
"Irving, TX","95,225","43,061",26 days
"Detroit, MI","94,107","42,979",27 days
"Jacksonville, FL","96,614","41,430",25 days
"Baltimore, MD","112,993","41,244",26 days
"Jersey City, NJ","78,485","41,183",24 days
"Richmond, VA","82,605","40,477",24 days
"Colorado Springs, CO","118,648","39,454",27 days
"Nashville, TN","82,691","38,459",26 days
"Cleveland, OH","89,364","38,311",25 days
"Santa Clara, CA","84,983","38,186",23 days
"Boise, ID","84,847","37,402",28 days
"Kansas City, MO","93,985","36,571",27 days
"Sunnyvale, CA","86,804","36,523",24 days
"Fort Worth, TX","84,591","35,343",26 days
"Lansing, MI","53,476","34,385",26 days
"Salt Lake City, UT","70,986","33,873",27 days
