Top Companies Posting,,,
,,,
Company,Total Postings (Jan 2022 - Dec 2023),Unique Postings (Jan 2022 - Dec 2023),Median Posting Duration
Randstad,"218,844","150,580",21 days
Actalent,"185,119","96,002",24 days
Jobot,"227,599","77,137",25 days
Deloitte,"107,124","73,407",23 days
Boeing,"198,080","69,939",19 days
Amazon,"149,025","64,509",28 days
CyberCoders,"142,433","61,521",28 days
CTG,"63,389","55,635",31 days
Northrop Grumman,"211,855","55,343",26 days
General Dynamics,"112,528","54,467",25 days
Humana,"99,866","51,580",31 days
Lockheed Martin,"148,722","50,583",25 days
Raytheon Technologies,"123,882","49,192",27 days
Robert Half,"74,509","48,639",30 days
Leidos,"143,700","47,797",20 days
Kforce,"83,801","44,692",25 days
Elevance Health,"65,606","40,623",29 days
Accenture,"77,320","39,298",27 days
Guidehouse,"53,768","38,362",26 days
Motion Recruitment,"51,095","34,644",18 days
PricewaterhouseCoopers,"55,219","32,241",27 days
UnitedHealth Group,"74,666","30,565",23 days
TEKsystems,"63,599","30,194",24 days
CDM Smith,"41,999","29,538",29 days
The Judge Group,"53,913","28,883",26 days
Intel,"48,882","28,857",24 days
Black & Veatch,"42,684","28,256",29 days
ManpowerGroup,"49,691","26,834",24 days
GPAC,"39,809","26,600",37 days
Citigroup,"65,873","24,419",25 days
JPMorgan Chase,"70,820","23,508",29 days
Booz Allen Hamilton,"76,745","22,286",25 days
Wells Fargo,"74,261","22,249",27 days
L3Harris Technologies,"46,826","22,123",31 days
ASGN,"28,534","21,775",17 days
Siemens,"41,973","21,619",28 days
Cynet Systems,"26,314","21,204",21 days
Dell Technologies,"34,578","20,971",20 days
Kelly Services,"36,939","20,933",30 days
Marriott International,"35,032","20,744",31 days
Capital One,"60,822","20,614",19 days
Jacobs Solutions,"49,368","20,579",35 days
Cognizant Technology Solutions,"58,289","20,116",22 days
General Motors,"48,997","20,099",27 days
Meta,"44,511","19,240",29 days
Apple,"39,702","18,762",21 days
SAIC,"74,891","18,284",30 days
Insight Global,"24,984","18,245",22 days
Lumen Technologies,"30,100","16,042",21 days
Honeywell International,"56,327","15,437",23 days
