Top Posted Occupations,,,
,,,
Occupation (SOC),Total Postings (Jan 2022 - Dec 2023),Unique Postings (Jan 2022 - Dec 2023),Median Posting Duration
Software Developers,"3,707,372","1,840,833",25 days
"Computer Occupations, All Other","3,017,157","1,452,082",26 days
Data Scientists,"1,344,148","656,666",26 days
Computer User Support Specialists,"1,393,106","606,859",26 days
Industrial Engineers,"781,748","358,429",25 days
Civil Engineers,"750,058","316,740",28 days
Mechanical Engineers,"623,885","284,583",26 days
Computer Systems Analysts,"604,674","281,409",26 days
Database Administrators,"517,469","275,114",25 days
Computer Network Architects,"526,337","260,403",25 days
Database Architects,"522,567","252,539",27 days
Web Developers,"439,983","221,135",25 days
Electrical Engineers,"485,070","216,441",25 days
Network and Computer Systems Administrators,"415,960","193,232",25 days
Web and Digital Interface Designers,"313,413","166,765",25 days
Software Quality Assurance Analysts and Testers,"315,513","154,103",25 days
Industrial Engineering Technologists and Technicians,"385,905","140,339",28 days
Operations Research Analysts,"293,256","126,459",27 days
"Medical Scientists, Except Epidemiologists","360,202","125,887",27 days
Information Security Analysts,"269,978","122,599",27 days
"Engineering Technologists and Technicians, Except Drafters, All Other","209,542","84,328",28 days
Electrical and Electronic Engineering Technologists and Technicians,"211,293","79,782",27 days
"Electronics Engineers, Except Computer","187,348","78,721",25 days
Computer Programmers,"184,224","73,872",26 days
Chemical Engineers,"150,153","71,440",26 days
"Environmental Scientists and Specialists, Including Health","170,465","67,399",27 days
Chemists,"160,618","65,554",27 days
"Drafters, All Other","184,305","64,342",27 days
"Biological Scientists, All Other","143,848","58,041",27 days
Architectural and Civil Drafters,"146,896","57,059",28 days
Clinical and Counseling Psychologists,"188,597","50,035",27 days
School Psychologists,"107,609","48,244",28 days
Computer Hardware Engineers,"102,095","45,308",25 days
"Psychologists, All Other","116,907","38,996",28 days
"Social Scientists and Related Workers, All Other","88,725","36,749",28 days
Aerospace Engineers,"89,964","36,155",29 days
Agricultural Technicians,"88,055","34,834",29 days
"Life, Physical, and Social Science Technicians, All Other","80,303","33,699",28 days
"Engineers, All Other","71,417","33,560",28 days
Statisticians,"67,780","31,461",25 days
Actuaries,"59,794","30,109",28 days
Urban and Regional Planners,"67,707","29,911",29 days
"Environmental Science and Protection Technicians, Including Health","74,223","28,803",26 days
Biological Technicians,"67,571","25,488",28 days
Chemical Technicians,"67,346","25,384",27 days
Surveying and Mapping Technicians,"68,843","24,799",30 days
Computer Network Support Specialists,"57,810","23,702",27 days
Environmental Engineers,"49,328","23,379",27 days
Epidemiologists,"63,163","22,959",28 days
Materials Engineers,"48,558","22,146",28 days
