Top Software Skills,,,,,,
,,,,,,
Skills,Postings,% of Total Postings,Profiles,% of Total Profiles,Projected Skill Growth,Skill Growth Relative to Market
Microsoft Office,"2,938,516",8%,"11,713,015",11%,18.5%,Growing
Microsoft Excel,"2,874,905",8%,"9,942,337",9%,17.7%,Growing
Microsoft Outlook,"1,550,296",4%,"2,445,605",2%,25.0%,Rapidly Growing
Microsoft PowerPoint,"1,526,857",4%,"6,964,112",7%,26.1%,Rapidly Growing
Microsoft Word,"958,733",3%,"7,611,634",7%,7.2%,Stable
SQL (Programming Language),"660,863",2%,"2,140,851",2%,6.4%,Stable
Python (Programming Language),"589,228",2%,"1,506,577",1%,24.5%,Rapidly Growing
Spreadsheets,"580,912",2%,"727,763",1%,22.2%,Rapidly Growing
SAP Applications,"433,748",1%,"932,616",1%,21.6%,Rapidly Growing
Operating Systems,"407,335",1%,"729,404",1%,22.6%,Rapidly Growing
Salesforce,"397,384",1%,"1,348,557",1%,24.7%,Rapidly Growing
Amazon Web Services,"378,598",1%,"590,986",1%,24.0%,Rapidly Growing
Java (Programming Language),"367,437",1%,"1,471,435",1%,17.4%,Growing
Application Programming Interface (API),"323,404",1%,"606,121",1%,9.5%,Growing
Microsoft Azure,"313,952",1%,"316,136",0%,28.9%,Rapidly Growing
Microsoft Access,"310,071",1%,"1,087,953",1%,3.9%,Lagging
JavaScript (Programming Language),"307,200",1%,"1,269,070",1%,18.6%,Growing
Software Systems,"279,242",1%,"109,578",0%,11.9%,Growing
Dashboard,"275,706",1%,"476,985",0%,25.3%,Rapidly Growing
Linux,"269,955",1%,"979,384",1%,8.9%,Growing
AutoCAD,"245,127",1%,"1,021,026",1%,16.9%,Growing
Microsoft SharePoint,"245,045",1%,"836,508",1%,2.4%,Lagging
JIRA,"238,471",1%,"450,963",0%,24.1%,Rapidly Growing
Power BI,"220,058",1%,"259,501",0%,20.4%,Rapidly Growing
Tableau (Business Intelligence Software),"215,106",1%,"468,841",0%,20.8%,Rapidly Growing
Epic EMR,"199,548",1%,"290,477",0%,16.4%,Growing
HyperText Markup Language (HTML),"185,324",0%,"1,638,085",2%,11.4%,Growing
Git (Version Control System),"184,949",0%,"444,893",0%,11.4%,Growing
R (Programming Language),"182,219",0%,"498,039",0%,20.3%,Rapidly Growing
C++ (Programming Language),"180,915",0%,"1,161,894",1%,10.0%,Growing
Google Workspace,"179,481",0%,"201,435",0%,18.8%,Growing
Inventory Management System,"175,339",0%,"119,082",0%,12.0%,Growing
C# (Programming Language),"172,035",0%,"617,381",1%,16.1%,Growing
Cascading Style Sheets (CSS),"160,215",0%,"916,903",1%,21.4%,Rapidly Growing
Microsoft Visio,"149,893",0%,"691,339",1%,7.7%,Stable
Accounting Software,"147,697",0%,"197,514",0%,20.5%,Rapidly Growing
Kubernetes,"145,746",0%,"123,970",0%,22.0%,Rapidly Growing
Zoom (Video Conferencing Tool),"144,350",0%,"145,334",0%,13.1%,Growing
React.js (Javascript Library),"142,584",0%,"306,227",0%,16.7%,Growing
RESTful API,"134,553",0%,"290,204",0%,19.2%,Growing
Active Directory,"134,019",0%,"603,065",1%, (1.8%),Lagging
Microsoft Teams,"133,433",0%,"131,327",0%,16.8%,Growing
Docker (Software),"131,224",0%,"181,051",0%,19.9%,Rapidly Growing
Relational Databases,"130,713",0%,"117,842",0%,12.0%,Growing
Firewall,"130,044",0%,"275,343",0%,20.4%,Rapidly Growing
Angular (Web Framework),"128,985",0%,"252,434",0%,21.9%,Rapidly Growing
C (Programming Language),"127,576",0%,"1,000,201",1%,10.1%,Growing
Jenkins,"126,264",0%,"167,818",0%,16.4%,Growing
ServiceNow,"125,812",0%,"127,153",0%,22.8%,Rapidly Growing
Microsoft Project,"125,691",0%,"612,034",1%,3.4%,Lagging
